,a(p(Raf)),a(p(Mek)),a(p(Erk))
398,52,65,89
399,47,66,93
400,60,61,85
401,48,64,80
402,42,57,79
403,48,60,86
404,46,64,82
405,51,71,88
406,39,61,81
407,48,67,86
408,47,62,88
409,51,59,73
410,53,66,82
411,50,68,92
412,39,57,76
413,49,63,77
414,49,62,86
415,51,61,80
416,48,66,85
417,58,70,90
418,52,62,84
419,45,56,83
420,51,69,85
421,50,68,86
422,50,66,75
423,59,65,82
424,46,64,77
425,51,65,89
426,42,62,85
427,47,55,80
428,48,63,82
429,47,66,81
430,42,59,82
431,45,58,81
432,60,74,93
433,41,56,85
434,56,65,90
435,50,67,84
436,47,70,80
437,50,64,83
438,49,63,86
439,52,69,81
440,51,63,86
441,53,61,80
442,47,73,85
443,55,63,87
444,44,56,79
445,50,68,83
446,41,56,80
447,47,62,85
448,47,65,82
449,50,66,86
450,55,63,90
451,57,71,91
452,45,59,83
453,56,63,78
454,57,67,89
455,45,61,84
456,44,78,88
457,50,70,91
458,40,61,86
459,55,66,81
460,51,69,89
461,50,65,87
462,49,69,85
463,47,62,89
464,49,61,86
465,43,59,91
466,50,71,84
467,52,61,87
468,52,57,87
469,47,72,89
470,48,65,81
471,55,68,80
472,51,54,85
473,49,66,84
474,46,64,85
475,52,58,85
476,51,68,79
477,41,59,84
478,41,53,81
479,48,63,84
480,51,71,87
481,53,58,83
482,52,59,84
483,53,73,84
484,48,51,85
485,49,57,89
486,47,65,79
487,49,66,86
488,46,58,81
489,49,55,78
490,53,67,84
491,52,59,85
492,49,61,84
493,44,67,86
494,48,53,81
495,47,64,86
496,42,52,76
497,50,64,82
498,55,67,81
499,48,69,88
500,56,71,87
501,51,64,82
502,48,61,90
503,52,67,91
504,50,67,79
505,38,48,84
506,45,63,84
507,47,66,81
508,49,67,83
509,47,50,87
510,58,71,87
511,44,61,86
512,55,66,86
513,52,68,86
514,50,65,85
515,43,55,82
516,51,65,82
517,48,63,79
518,57,65,89
519,42,63,87
520,46,57,87
521,52,60,80
522,41,55,81
523,48,62,87
524,52,65,85
525,44,54,83
526,50,69,84
527,44,57,81
528,49,63,89
529,38,46,86
530,51,61,86
531,42,65,86
532,44,61,80
533,39,51,82
534,54,66,86
535,45,59,80
536,52,76,92
537,47,66,81
538,43,59,84
539,44,53,89
540,53,62,85
541,49,62,87
542,39,61,82
543,56,70,83
544,52,59,85
545,43,56,82
546,42,66,84
547,57,69,85
548,53,60,84
549,49,65,86
550,49,70,86
551,52,54,82
552,50,71,84
553,45,64,85
554,49,69,84
555,43,64,87
556,45,60,86
557,50,67,87
558,47,65,82
559,52,61,87
560,47,57,81
561,51,67,82
562,43,52,83
563,44,61,91
564,53,62,86
565,55,65,80
566,56,64,84
567,49,62,86
568,59,67,83
569,52,63,85
570,51,65,82
571,58,65,80
572,45,55,81
573,47,69,89
574,57,74,86
575,47,58,86
576,51,70,85
577,53,57,89
578,49,56,85
579,52,61,79
580,48,72,89
581,50,64,85
582,35,53,82
583,53,65,87
584,48,59,86
585,46,61,88
586,57,68,83
587,46,64,79
588,40,53,84
589,59,61,79
590,52,64,90
591,57,68,83
592,56,68,84
593,46,75,87
594,52,63,87
595,48,61,85
596,40,57,82
597,48,60,81
598,49,60,80
599,49,68,81
600,50,64,84
601,45,67,85
602,59,64,89
603,47,62,84
604,53,71,84
605,45,60,84
606,42,55,82
607,50,62,85
608,43,56,83
609,48,62,80
610,60,69,91
611,54,67,89
612,46,68,85
613,50,64,86
614,41,61,80
615,47,70,87
616,37,59,77
617,48,63,85
618,45,63,85
619,38,55,81
620,52,69,87
621,42,53,78
622,50,55,80
623,46,62,87
624,47,70,81
625,49,63,83
626,51,66,86
627,49,63,88
628,51,55,82
629,42,57,87
630,53,75,83
631,41,62,89
632,43,60,83
633,44,58,84
634,46,67,88
635,52,69,83
636,52,64,80
637,47,68,85
638,50,69,79
639,52,70,85
640,47,65,82
641,47,60,70
642,54,65,80
643,50,70,83
644,44,53,88
645,44,64,85
646,45,59,84
647,46,66,80
648,43,55,87
649,50,61,83
650,46,60,84
651,42,66,84
652,50,71,86
653,49,64,78
654,54,67,81
655,48,58,83
656,49,69,87
657,53,60,87
658,54,65,87
659,56,64,78
660,54,66,89
661,47,58,86
662,44,55,82
663,49,63,88
664,53,66,79
665,46,60,85
666,49,65,82
667,53,64,87
668,48,65,90
669,47,60,83
670,49,65,85
671,54,66,92
672,51,63,84
673,49,59,78
674,48,72,88
675,52,70,87
676,46,61,85
677,56,68,89
678,50,57,81
679,47,61,88
680,50,60,82
681,43,63,86
682,53,76,81
683,54,71,89
684,35,61,85
685,49,58,82
686,52,68,88
687,53,65,88
688,49,61,85
689,45,57,86
690,48,64,83
691,54,72,84
692,51,67,87
693,49,72,91
694,51,66,82
695,42,62,82
696,52,66,84
697,49,52,83
698,54,71,89
699,48,64,87
700,53,70,82
701,48,62,91
702,51,67,87
703,46,62,83
704,51,75,86
705,50,60,89
706,45,61,81
707,54,66,87
708,54,61,88
709,55,72,85
710,40,55,85
711,50,71,80
712,47,62,82
713,45,61,85
714,44,67,86
715,54,61,89
716,49,60,83
717,49,70,89
718,55,67,85
719,51,68,80
720,56,62,83
721,52,70,78
722,46,64,87
723,54,73,84
724,48,57,80
725,56,74,88
726,52,61,81
727,58,60,83
728,49,55,84
729,45,67,84
730,52,67,84
731,53,61,83
732,52,70,89
733,48,61,84
734,42,62,82
735,46,59,84
736,40,53,85
737,48,57,84
738,56,67,80
739,50,66,80
740,49,55,86
741,49,75,84
742,42,60,83
743,51,72,85
744,49,67,92
745,51,76,76
746,54,73,83
747,48,57,87
748,48,57,80
749,46,63,89
750,51,59,91
751,52,64,84
752,52,61,83
753,60,69,83
754,49,57,85
755,50,60,83
756,43,58,80
757,45,66,88
758,59,74,86
759,51,67,86
760,45,59,77
761,48,65,84
762,45,59,81
763,46,65,78
764,51,60,85
765,58,64,85
766,53,63,88
767,54,75,88
768,54,70,85
769,55,64,86
770,50,67,89
771,51,62,90
772,52,55,89
773,42,55,83
774,49,61,80
775,45,52,79
776,53,62,80
777,52,69,85
778,41,54,80
779,46,63,83
780,52,68,87
781,59,57,90
782,56,66,85
783,55,65,84
784,49,59,91
785,48,54,84
786,55,61,83
787,50,65,85
788,44,54,85
789,53,55,77
790,52,56,80
