,a(p(SOS)),a(p(Ras)),a(p(PI3K)),a(p(AKT)),a(p(Raf)),a(p(Mek)),a(p(Erk))
855,46,50,51,52,39,74,86
856,39,47,58,57,35,75,91
857,47,52,69,59,36,65,86
858,51,35,67,56,32,76,86
859,47,53,61,58,32,82,83
860,30,38,65,63,19,71,87
861,50,51,68,49,37,78,94
862,43,43,71,59,37,81,89
863,49,44,56,50,34,78,94
864,45,53,56,60,33,82,83
865,46,45,53,48,38,76,94
866,44,46,64,64,25,77,84
867,48,38,63,54,38,77,91
868,49,51,67,63,43,83,90
869,42,43,58,57,40,82,90
870,39,43,61,49,34,82,82
871,47,45,53,46,37,82,92
872,47,56,70,61,35,75,91
873,37,41,62,49,33,76,88
874,40,42,60,53,29,72,88
875,46,54,62,55,34,82,89
876,41,47,61,55,31,84,89
877,48,47,63,55,36,76,91
878,52,50,69,59,28,66,83
879,33,46,57,56,37,74,89
880,41,41,70,56,42,81,91
881,41,51,70,62,40,78,88
882,40,42,65,51,28,75,84
883,44,45,66,51,42,74,84
884,39,45,62,56,29,74,85
885,46,42,55,56,32,77,87
886,47,40,56,53,30,70,84
887,40,51,53,46,37,75,83
888,56,55,66,64,28,78,94
889,44,49,67,51,44,70,88
890,51,44,64,57,33,71,85
891,43,41,74,58,36,75,83
892,42,44,63,57,30,74,94
893,44,45,72,54,30,83,87
894,53,57,64,57,28,78,87
895,52,47,68,45,36,77,85
896,50,52,66,56,36,77,88
897,47,47,64,53,30,76,83
898,43,38,59,57,42,78,89
899,54,47,61,52,37,71,89
900,41,48,64,53,31,77,80
901,44,44,56,64,38,77,87
902,44,33,64,56,22,75,87
903,41,45,70,58,37,75,93
904,50,50,63,50,39,85,84
905,51,57,67,56,32,72,87
906,50,58,67,53,43,79,88
907,45,36,66,69,32,88,90
908,39,38,60,59,37,71,82
909,46,53,65,56,43,79,89
910,44,46,62,59,25,65,85
911,50,56,60,56,33,84,84
912,37,39,57,47,30,77,89
913,48,50,69,56,34,81,82
914,49,46,72,49,35,77,83
915,42,48,62,56,29,75,87
916,43,48,66,70,30,78,91
917,54,47,62,60,38,83,90
918,47,48,73,59,41,76,89
919,50,48,63,48,34,77,89
920,39,46,58,58,47,79,85
921,56,50,61,53,24,68,91
922,47,51,69,55,40,85,90
923,48,48,65,59,32,78,91
924,46,40,64,50,41,74,88
925,50,48,64,60,34,77,83
926,41,41,54,42,34,80,95
927,44,42,64,60,34,74,92
928,56,49,69,49,37,80,91
929,43,47,61,57,30,67,87
930,40,51,70,59,41,83,88
931,38,48,62,52,34,79,90
932,42,37,56,47,36,72,82
933,51,49,59,53,33,80,83
934,49,35,74,61,34,82,83
935,44,51,65,59,32,74,86
936,36,52,71,52,39,85,92
937,56,49,62,51,37,87,90
938,51,51,60,59,30,82,86
939,45,51,63,54,35,81,92
940,51,50,63,58,33,74,88
941,39,40,71,46,32,77,89
942,38,40,65,64,35,86,91
943,45,46,66,60,34,78,86
944,55,59,63,61,40,78,86
945,49,51,59,57,34,75,86
946,41,49,70,53,42,82,83
947,40,44,65,58,32,80,86
948,51,45,63,49,41,83,89
949,56,54,64,58,46,80,91
950,48,49,67,54,38,82,88
951,51,61,68,57,41,86,94
952,40,44,68,62,29,73,88
953,41,44,67,47,38,86,91
954,47,41,54,52,38,82,86
955,46,44,66,52,37,82,90
956,50,47,70,53,39,76,92
957,47,57,58,62,34,75,89
958,49,39,58,62,30,72,88
959,38,44,69,57,36,72,86
960,46,52,66,58,33,76,87
961,48,62,70,52,40,76,87
962,49,57,62,64,33,76,84
963,46,47,67,59,31,73,88
964,46,48,65,59,34,73,83
965,47,52,63,50,31,74,90
966,46,47,69,52,42,88,90
967,54,49,63,56,35,82,92
968,40,52,74,66,39,77,88
969,44,51,66,54,31,79,92
970,55,52,61,51,41,76,92
971,44,41,56,53,24,68,87
972,49,58,72,48,37,76,89
973,45,51,66,64,39,72,89
974,45,42,56,41,41,78,89
975,43,53,69,68,29,69,92
976,46,50,62,54,27,72,87
977,43,42,55,57,31,83,93
978,42,54,59,54,47,82,87
979,46,47,72,49,37,82,87
980,44,49,71,51,40,82,93
981,48,49,69,59,36,82,84
982,48,48,67,60,43,80,92
983,42,50,65,57,22,72,84
984,44,47,57,52,30,69,89
985,49,46,70,56,38,81,84
986,52,56,69,61,33,72,82
987,44,50,70,64,36,74,94
988,45,50,69,57,33,80,90
989,41,45,64,53,39,85,90
990,46,44,61,55,37,71,87
991,51,38,61,60,29,71,89
992,49,49,64,58,29,76,78
993,44,46,58,56,28,76,86
994,38,47,63,53,29,71,90
995,41,45,63,53,33,85,87
996,37,33,63,57,36,74,89
997,40,36,69,53,37,80,89
998,42,51,65,56,38,76,93
999,42,37,63,55,35,82,86
1000,44,46,66,53,37,83,85
1001,41,42,68,51,37,76,88
1002,32,43,66,58,35,76,88
1003,37,46,66,60,36,79,86
1004,42,41,67,59,39,83,89
1005,41,48,64,51,41,86,92
1006,34,36,64,51,36,85,88
1007,50,57,73,51,43,76,89
1008,47,35,61,55,43,87,91
1009,45,42,65,60,28,73,95
1010,42,39,51,55,27,79,87
1011,53,49,55,52,54,82,88
1012,44,53,63,58,32,76,83
1013,48,54,62,57,33,77,93
1014,36,52,67,57,36,78,90
1015,50,49,67,47,36,84,89
1016,41,50,61,50,42,72,90
1017,43,50,74,58,35,79,90
1018,44,45,71,51,28,77,86
1019,49,52,66,53,33,75,91
1020,45,44,64,57,30,76,88
1021,39,42,63,45,38,79,90
1022,48,45,62,55,36,78,91
1023,47,49,66,62,36,74,90
1024,45,54,60,53,44,84,90
1025,47,56,64,63,35,74,82
1026,46,47,67,58,37,82,88
1027,42,49,66,53,40,84,84
1028,37,52,66,52,34,75,91
1029,42,47,60,58,32,80,94
1030,38,47,68,64,32,82,87
1031,46,50,64,43,45,86,87
1032,43,40,72,60,44,81,88
1033,48,44,57,53,35,76,90
1034,48,50,67,52,52,85,90
1035,53,52,63,64,42,79,89
1036,44,43,66,51,35,76,88
1037,51,49,63,54,39,77,89
1038,42,57,66,53,43,83,84
1039,51,39,66,68,32,67,90
1040,51,58,71,64,41,82,88
1041,47,40,52,61,32,80,98
1042,41,51,61,60,36,76,95
1043,44,54,59,49,35,72,85
1044,47,35,61,57,30,70,82
1045,41,34,67,50,20,68,85
1046,40,48,63,52,33,75,90
1047,37,45,73,65,32,77,89
1048,50,48,70,52,37,76,90
1049,41,46,68,57,30,74,94
1050,53,47,55,46,39,79,93
1051,47,47,71,61,35,67,93
1052,48,47,62,55,28,70,85
1053,46,48,66,51,41,77,89
1054,41,48,62,56,27,73,86
1055,50,56,67,60,35,75,86
1056,42,50,64,52,37,78,87
1057,47,51,71,53,33,80,93
1058,53,52,74,66,47,85,96
1059,59,50,66,58,32,81,91
1060,44,47,64,63,40,79,90
1061,53,47,52,53,35,72,93
1062,45,58,69,66,36,77,84
1063,52,46,70,47,40,82,91
1064,44,48,71,55,35,79,87
1065,46,51,71,56,36,74,92
1066,51,51,68,55,40,78,86
1067,40,42,61,62,35,79,87
1068,44,47,74,57,33,83,86
1069,45,56,62,54,33,77,87
1070,42,51,53,57,39,77,85
1071,48,49,57,60,38,82,87
1072,42,48,64,59,27,74,88
1073,45,45,64,50,39,79,88
1074,50,42,70,62,41,80,83
1075,42,48,59,68,38,78,88
1076,44,49,65,68,37,85,92
1077,34,45,70,56,32,84,92
1078,50,53,59,58,32,78,87
1079,49,46,56,49,35,78,89
1080,53,45,68,56,31,72,92
1081,40,53,71,55,37,79,90
1082,42,49,60,52,40,90,82
1083,48,59,62,53,46,85,94
1084,50,41,66,50,40,77,86
1085,39,46,61,52,33,77,90
1086,40,38,65,54,33,78,92
1087,50,50,66,57,40,84,87
1088,47,59,70,49,37,81,89
1089,39,43,67,57,31,70,86
1090,47,45,63,59,29,78,91
1091,40,42,69,56,23,68,86
1092,40,38,65,40,34,75,92
1093,50,44,61,43,36,80,91
1094,44,41,66,50,37,80,89
1095,39,41,68,59,33,82,96
1096,39,43,61,56,38,74,90
1097,45,45,63,55,31,83,90
1098,42,46,59,63,32,79,88
1099,48,45,67,64,37,82,96
1100,41,44,64,55,41,82,88
1101,51,47,59,49,34,79,93
1102,44,48,55,45,45,78,88
1103,47,47,58,63,32,74,87
1104,51,52,62,67,30,73,89
1105,55,58,65,59,37,70,95
1106,47,53,67,51,37,84,88
1107,46,38,67,57,29,76,85
1108,50,40,64,59,29,78,92
1109,50,54,68,56,40,79,91
1110,47,53,72,60,36,79,87
1111,46,54,67,56,32,76,89
1112,39,50,58,55,42,76,86
1113,50,53,70,55,42,76,92
1114,45,44,70,64,38,82,85
1115,47,43,69,51,38,80,87
1116,41,49,64,60,29,75,91
1117,45,41,67,52,33,82,86
1118,47,49,63,69,26,77,83
1119,41,43,67,64,42,79,89
1120,44,43,68,65,37,78,91
1121,43,42,68,55,15,71,88
1122,52,45,68,50,31,82,90
1123,41,47,67,48,39,72,85
1124,53,49,66,62,46,88,91
1125,44,44,63,52,41,86,90
1126,45,54,66,58,32,80,84
1127,47,51,59,60,29,75,91
1128,53,55,71,50,33,73,90
1129,55,45,68,63,30,73,85
1130,47,49,57,54,36,78,92
1131,48,50,69,56,38,75,93
1132,45,40,59,52,37,75,86
1133,50,48,69,54,44,79,93
1134,53,56,63,57,36,79,89
1135,41,49,73,60,35,79,90
1136,43,46,62,54,45,82,91
1137,45,49,67,66,40,81,86
1138,48,44,58,57,29,74,88
1139,43,47,60,67,32,81,83
1140,44,51,61,58,45,85,89
1141,45,38,70,46,37,72,90
1142,48,53,64,61,30,74,93
1143,47,45,65,58,29,69,92
1144,43,46,48,48,38,78,88
1145,35,42,70,55,36,79,89
1146,46,45,61,50,40,81,91
1147,52,58,71,58,34,74,91
1148,44,55,69,38,48,81,88
1149,46,46,62,54,34,81,87
1150,43,39,65,63,30,74,79
1151,44,45,65,53,33,72,85
1152,50,45,63,57,35,85,90
1153,31,39,60,57,50,82,86
1154,57,61,68,53,42,82,91
1155,41,44,59,58,34,72,89
1156,44,39,66,54,38,79,92
1157,55,50,69,65,33,72,87
1158,47,45,66,54,34,78,87
1159,42,51,74,71,31,78,87
1160,49,62,68,59,43,79,94
1161,45,51,63,63,34,75,89
1162,42,50,68,53,34,83,95
1163,45,42,62,55,28,80,86
1164,50,50,66,50,33,79,91
1165,50,54,64,53,47,80,92
1166,47,47,65,59,35,80,86
1167,39,46,57,55,41,78,95
1168,42,40,64,58,33,78,87
1169,46,54,61,63,41,85,89
1170,41,43,58,53,34,77,90
1171,49,52,63,64,39,71,86
1172,46,40,70,54,35,79,90
1173,47,52,67,50,33,79,90
1174,52,54,60,61,37,73,91
1175,57,46,62,50,41,79,87
1176,44,47,59,63,36,74,88
1177,49,47,70,51,34,83,86
1178,46,44,62,62,39,84,90
1179,42,41,65,53,34,71,88
1180,55,51,73,55,38,71,85
1181,42,44,67,60,33,74,88
1182,52,48,56,51,35,69,82
1183,51,41,65,56,34,85,88
1184,41,50,72,63,47,87,92
1185,52,59,66,61,35,75,88
1186,40,46,64,55,35,68,85
1187,49,39,61,62,32,79,90
1188,41,43,58,56,36,76,87
1189,52,43,64,59,39,88,89
1190,40,48,68,50,33,79,88
1191,51,42,67,64,32,69,87
1192,39,50,73,52,40,80,84
1193,46,52,65,60,38,78,90
1194,41,44,68,64,24,71,86
1195,41,41,58,54,31,72,83
1196,40,51,68,50,37,77,92
1197,44,46,68,62,31,80,88
1198,48,48,60,59,29,67,83
1199,37,47,64,51,37,77,89
1200,49,46,62,69,33,75,91
1201,41,46,65,61,37,76,92
1202,50,47,63,57,34,71,88
1203,42,52,69,55,40,77,93
1204,45,55,65,53,39,72,89
1205,48,49,69,50,36,73,81
1206,41,57,77,58,40,75,87
1207,47,48,67,56,31,64,87
1208,46,57,64,55,42,83,92
1209,50,36,62,60,37,78,85
1210,44,47,64,59,46,77,88
1211,47,56,60,54,33,76,93
1212,43,51,62,56,38,77,91
1213,42,54,69,58,40,80,94
1214,40,48,56,48,34,76,86
1215,50,47,67,62,39,79,90
1216,43,57,66,59,44,82,91
1217,44,40,71,53,40,81,91
1218,51,48,64,53,41,82,88
1219,58,51,69,50,39,80,87
1220,47,40,64,43,39,76,88
1221,55,39,72,61,22,76,88
1222,48,49,73,59,39,86,94
1223,45,55,64,54,41,86,88
1224,43,48,70,56,40,86,93
1225,47,50,70,56,40,83,90
1226,42,42,61,61,30,71,89
1227,53,49,64,59,37,73,84
1228,53,51,67,52,39,79,90
1229,51,54,67,50,55,88,87
1230,40,40,62,54,37,79,87
1231,51,52,62,56,41,85,92
1232,50,53,65,51,34,71,91
1233,46,50,55,54,53,81,88
1234,45,40,68,57,22,79,89
1235,36,44,65,53,39,80,83
1236,40,48,58,54,36,77,87
1237,46,41,49,53,29,77,88
1238,41,53,71,60,35,82,91
1239,40,53,69,60,32,77,94
1240,46,46,62,53,42,78,84
1241,35,43,67,52,28,71,91
1242,49,43,63,53,33,74,94
1243,40,58,59,59,37,81,89
1244,52,46,70,56,35,78,89
1245,48,50,70,57,41,77,89
1246,58,54,66,65,40,71,91
1247,45,52,65,53,41,85,93
1248,54,46,61,50,31,77,87
1249,44,45,67,53,33,80,83
1250,40,43,79,57,34,84,85
1251,44,49,66,52,36,78,93
1252,43,45,71,58,33,77,93
1253,44,58,69,54,34,87,86
1254,49,50,58,54,32,81,90
1255,56,51,69,60,41,84,93
1256,40,48,60,58,40,76,93
1257,44,50,65,59,41,80,87
1258,46,48,60,56,34,81,88
1259,37,42,68,53,37,79,89
1260,40,45,62,49,36,83,92
1261,39,44,57,58,36,75,92
1262,44,47,63,51,43,83,87
1263,43,41,63,57,28,78,90
1264,50,57,60,54,34,74,88
1265,50,49,75,69,33,81,94
1266,44,47,71,59,32,71,87
1267,45,54,65,47,43,81,84
1268,38,44,64,55,36,81,82
1269,40,48,71,57,37,85,90
1270,47,55,65,57,39,82,91
1271,44,36,62,62,30,75,94
1272,44,39,65,64,31,67,78
1273,43,46,66,64,33,74,88
1274,44,42,64,57,35,79,89
1275,47,44,59,57,29,75,86
1276,47,49,62,48,40,79,88
1277,39,49,62,57,33,80,89
1278,49,54,71,62,32,78,82
1279,51,50,53,54,36,81,89
1280,48,46,62,55,37,79,92
1281,46,51,72,64,42,87,86
1282,49,38,55,58,29,83,88
1283,47,47,57,55,32,76,90
1284,41,47,69,55,40,83,90
1285,40,56,59,48,35,77,93
1286,49,52,68,54,36,74,91
1287,45,54,61,63,42,77,91
1288,44,51,61,56,26,79,89
1289,44,46,63,68,39,79,83
1290,47,44,61,52,38,81,92
1291,45,51,72,60,36,83,88
1292,46,35,53,55,37,80,90
1293,39,51,69,58,28,73,89
1294,55,50,65,54,40,85,88
1295,40,43,69,60,32,73,85
1296,45,45,62,67,39,80,92
1297,43,42,67,53,32,79,93
1298,39,51,69,67,33,80,93
1299,47,45,63,69,29,79,88
1300,48,43,62,48,41,78,85
1301,41,46,68,52,35,78,87
1302,45,50,68,63,42,82,89
1303,44,51,59,54,45,81,91
1304,47,60,60,52,43,78,91
1305,55,56,72,57,34,83,94
1306,44,43,73,56,31,77,95
1307,39,55,70,68,35,82,91
1308,49,40,58,57,25,78,88
1309,49,54,72,53,38,73,87
1310,58,50,63,56,36,77,88
1311,42,40,69,59,34,79,89
1312,54,47,71,66,34,76,76
1313,37,43,72,63,33,77,91
1314,44,48,68,59,43,79,94
1315,48,47,68,61,37,78,89
1316,54,49,67,56,36,80,94
1317,46,40,68,48,36,72,89
1318,52,48,67,52,35,74,89
1319,37,38,60,59,38,83,90
1320,45,46,55,51,34,69,85
1321,42,39,65,64,39,77,92
1322,49,37,58,50,30,73,84
1323,47,44,64,57,37,77,91
1324,55,62,74,59,37,80,92
1325,47,46,73,52,43,78,87
1326,46,49,60,59,31,78,88
1327,51,48,63,55,27,75,92
1328,51,44,62,51,33,76,86
1329,39,44,66,51,34,69,89
1330,49,51,66,55,35,84,91
1331,36,36,54,46,33,78,88
1332,47,44,59,58,30,81,94
1333,47,40,60,44,39,73,82
1334,53,56,69,67,39,78,89
1335,46,55,65,54,31,71,90
1336,53,48,64,59,39,72,86
1337,45,45,71,58,41,80,93
1338,45,43,60,51,30,85,85
1339,38,47,56,48,21,72,90
1340,53,46,66,54,36,81,89
1341,51,46,60,58,31,73,89
1342,39,45,64,57,46,79,88
1343,48,51,63,56,35,78,82
1344,43,50,67,55,40,86,88
1345,48,42,58,54,27,72,91
1346,42,52,60,50,34,74,83
1347,42,39,59,57,31,80,92
1348,39,45,62,56,29,68,89
1349,45,49,65,58,38,83,91
1350,47,39,52,54,36,78,93
1351,40,44,75,61,24,80,87
1352,43,44,73,56,32,76,91
1353,46,48,63,50,39,78,92
1354,44,46,59,56,47,80,86
1355,48,55,67,59,40,84,93
1356,48,46,69,61,30,82,90
1357,39,42,62,55,32,81,93
1358,42,42,71,54,36,82,92
1359,37,53,62,55,34,79,89
1360,51,44,65,63,32,74,93
1361,45,51,70,58,27,80,87
1362,49,48,62,52,35,77,89
1363,49,56,68,53,38,75,86
1364,40,43,60,51,31,79,90
1365,39,47,69,56,30,86,88
1366,40,50,66,55,30,80,85
1367,45,57,63,65,35,69,88
1368,44,35,59,58,28,83,88
1369,41,44,66,52,43,84,87
1370,45,51,63,58,35,76,88
1371,39,39,71,53,35,80,90
1372,50,57,70,46,35,78,91
1373,60,58,66,52,32,76,90
1374,53,42,63,52,41,79,88
1375,50,52,63,60,37,80,92
1376,52,47,66,63,38,79,87
1377,43,38,64,65,33,78,87
1378,49,45,61,52,36,86,93
1379,43,42,60,51,30,72,91
1380,44,45,67,58,38,79,84
1381,40,46,68,54,32,77,92
1382,51,44,61,47,42,79,86
1383,40,42,65,57,30,71,91
1384,56,53,67,59,34,77,92
1385,48,40,64,66,38,77,89
1386,43,49,62,62,39,83,77
1387,57,59,73,57,32,76,90
1388,45,46,66,48,42,82,86
1389,53,49,68,61,45,77,90
1390,47,43,69,57,35,81,91
1391,46,58,61,52,40,81,86
1392,48,54,73,65,34,76,93
1393,49,51,66,66,34,73,88
1394,38,45,62,46,32,79,90
1395,42,45,64,52,34,71,83
1396,49,44,69,61,31,68,87
1397,43,46,63,55,41,77,87
1398,45,45,68,58,30,71,91
1399,48,41,66,65,26,81,93
1400,45,47,74,56,40,82,89
1401,52,50,67,54,39,75,86
1402,41,50,70,58,25,72,89
1403,45,41,63,52,33,72,84
1404,38,45,66,53,33,79,89
1405,42,45,66,50,48,79,87
1406,40,51,67,63,42,76,91
1407,43,42,65,54,39,76,93
1408,42,47,73,58,33,80,83
1409,41,39,68,56,39,78,94
1410,42,47,69,49,34,71,86
1411,46,51,64,53,30,79,88
1412,43,56,63,57,37,80,93
1413,43,47,61,49,37,77,88
1414,51,52,68,56,34,74,95
1415,38,36,60,45,26,69,87
1416,49,46,78,56,40,83,85
1417,37,51,63,57,37,80,86
1418,46,49,62,63,38,76,91
1419,54,49,66,56,38,80,87
1420,48,50,74,63,30,73,83
1421,48,46,58,50,37,80,86
1422,45,43,64,53,40,78,81
1423,40,42,59,50,34,73,93
1424,48,51,67,53,45,86,92
1425,47,49,68,57,29,71,89
1426,52,44,68,49,36,78,91
1427,58,50,63,62,34,75,88
1428,53,51,54,56,33,79,91
1429,38,56,73,57,43,81,87
1430,45,54,77,57,33,69,81
1431,48,51,63,55,37,70,82
1432,46,40,63,56,31,76,87
1433,37,43,59,57,29,71,86
1434,51,55,70,50,39,80,87
1435,48,51,61,53,40,80,91
1436,48,40,63,55,28,82,93
1437,45,58,61,56,41,86,90
1438,46,54,75,61,39,79,85
1439,37,36,65,60,34,79,87
1440,44,49,67,57,42,86,87
1441,49,49,62,60,37,83,91
1442,42,46,52,61,40,70,88
1443,35,48,60,58,33,79,93
1444,33,42,62,64,35,83,86
1445,47,49,68,57,44,80,81
1446,40,42,68,60,33,78,93
1447,50,40,58,66,31,78,91
1448,37,42,58,49,33,76,92
1449,52,50,73,63,31,72,86
1450,46,41,63,62,37,77,89
1451,41,50,65,49,32,72,90
1452,47,41,62,56,34,78,91
1453,41,44,68,67,34,78,89
1454,49,47,58,56,38,77,89
1455,42,46,69,47,46,79,88
1456,51,54,61,46,47,82,89
1457,43,53,62,52,32,74,88
1458,44,42,73,55,35,78,85
1459,38,43,62,54,32,79,91
1460,48,52,65,58,33,68,88
1461,43,51,69,52,39,84,91
1462,45,40,67,56,36,80,82
1463,45,54,72,48,53,90,91
1464,40,46,72,59,35,76,90
1465,50,48,65,51,43,79,91
1466,44,45,69,53,35,77,87
1467,45,49,68,59,30,72,94
1468,50,45,62,51,34,77,79
1469,41,43,70,58,35,75,92
1470,47,42,59,60,27,78,91
1471,43,52,68,61,31,78,89
1472,49,52,68,59,37,76,89
1473,43,53,59,58,41,78,89
1474,47,48,67,58,30,77,92
1475,55,52,64,47,39,82,87
1476,46,43,62,52,29,78,93
1477,47,58,65,55,33,70,93
1478,52,46,66,45,45,81,83
1479,44,50,64,53,27,83,90
1480,45,47,68,59,30,67,83
1481,48,54,60,65,33,75,91
1482,46,41,63,54,26,73,90
1483,41,55,69,64,23,73,89
1484,57,58,67,54,36,74,85
1485,52,49,63,54,33,80,87
1486,45,48,65,55,41,80,86
1487,38,41,60,48,32,74,86
1488,51,52,64,55,27,73,85
1489,43,48,72,48,40,80,91
1490,53,46,69,50,38,78,86
1491,45,41,62,66,32,89,90
1492,43,50,56,53,42,79,90
1493,50,48,68,55,36,79,89
1494,37,41,70,56,31,83,88
1495,46,54,67,46,34,73,91
1496,51,41,57,61,33,72,86
1497,47,36,67,56,33,79,89
1498,47,52,64,59,32,79,91
1499,43,55,65,51,39,76,89
1500,49,38,65,52,32,72,84
1501,40,49,64,56,35,80,90
1502,49,39,70,59,23,72,83
1503,39,39,67,57,32,77,88
1504,44,46,55,53,34,74,88
1505,46,39,63,54,38,82,89
1506,51,57,66,53,40,84,85
1507,48,54,61,53,36,75,89
1508,37,35,65,55,27,78,85
1509,49,38,63,56,26,74,96
1510,55,65,79,68,38,84,91
1511,53,61,63,61,38,81,89
1512,50,45,66,56,33,70,89
1513,48,50,67,53,33,67,83
1514,34,42,64,64,34,86,91
1515,49,49,58,56,46,84,85
1516,40,38,63,67,42,81,90
1517,40,52,67,51,32,76,85
1518,50,55,71,48,42,80,88
1519,42,49,69,54,35,72,85
1520,45,52,61,60,34,72,86
1521,44,43,59,68,45,84,86
1522,55,39,65,53,32,79,92
1523,47,61,67,56,28,83,87
1524,48,48,66,66,40,74,87
1525,48,57,66,59,36,76,88
1526,40,50,65,61,38,83,88
1527,42,46,63,66,38,77,95
1528,54,52,59,56,36,79,93
1529,49,44,73,63,39,79,91
1530,51,55,64,54,42,78,88
1531,41,47,60,52,32,71,83
1532,40,37,65,61,41,84,90
1533,41,54,66,58,38,80,83
1534,43,49,53,52,33,67,87
1535,43,52,58,55,35,76,91
1536,55,54,57,58,30,77,84
1537,45,50,69,62,32,77,88
1538,46,45,70,56,41,79,91
1539,38,48,67,47,42,73,83
1540,52,57,65,57,36,81,88
1541,49,48,66,67,29,81,87
1542,44,52,69,57,30,81,91
1543,45,42,60,51,28,79,93
1544,47,51,59,44,28,75,82
1545,36,50,66,59,33,68,91
1546,42,43,69,63,35,75,89
1547,44,47,67,61,25,62,87
1548,41,51,63,53,37,77,89
1549,39,47,68,53,42,84,87
1550,56,51,66,56,36,78,88
1551,52,54,68,60,32,74,89
1552,50,57,66,54,47,77,85
1553,49,48,60,53,39,73,88
1554,46,48,62,63,44,82,84
1555,45,54,63,57,37,81,83
1556,43,52,72,51,40,89,84
1557,41,47,60,50,41,88,84
1558,42,41,63,55,30,78,88
1559,43,44,59,61,28,72,88
1560,37,51,72,56,47,87,97
1561,46,47,58,54,33,83,88
1562,46,43,69,47,34,81,90
1563,49,56,67,60,37,83,85
1564,48,49,61,54,36,81,89
1565,50,43,57,60,34,78,88
1566,44,45,62,47,38,87,90
1567,53,46,68,63,40,79,90
1568,49,41,66,60,32,80,89
1569,48,58,65,57,33,79,88
1570,39,58,59,54,44,81,85
1571,45,43,79,62,38,80,87
1572,42,40,51,52,31,64,89
1573,45,50,57,52,42,81,91
1574,45,48,67,62,29,82,90
1575,48,45,62,59,43,83,90
1576,42,50,59,51,35,67,88
1577,38,35,59,49,34,79,87
1578,43,39,58,58,30,69,92
1579,45,48,57,61,43,80,94
1580,45,49,69,66,33,70,84
1581,43,53,65,66,34,81,85
1582,44,41,66,56,32,76,87
1583,47,43,57,49,36,72,90
1584,44,40,60,58,31,79,92
1585,45,53,70,51,36,78,85
1586,51,56,66,57,38,83,94
1587,47,49,70,61,32,73,86
1588,45,46,64,66,34,70,92
1589,46,47,63,55,38,79,90
1590,49,48,62,59,31,80,88
1591,48,50,63,56,29,70,80
1592,41,48,70,52,33,76,90
1593,46,47,68,51,40,82,93
1594,37,43,62,56,31,70,82
1595,41,44,63,60,45,80,89
1596,48,48,61,52,37,83,92
1597,38,53,58,63,37,70,93
1598,43,38,59,53,29,78,84
1599,53,50,68,59,30,79,91
1600,35,46,65,61,27,68,92
1601,45,46,64,60,30,72,94
1602,41,46,57,51,24,73,82
1603,47,56,72,54,41,78,89
1604,59,49,71,56,32,78,90
1605,46,47,73,61,31,69,90
1606,51,47,61,54,29,75,89
1607,40,47,66,47,37,78,91
1608,41,52,61,51,51,79,88
1609,46,49,72,55,27,79,94
1610,50,46,55,53,31,72,90
1611,44,56,68,58,44,74,90
1612,39,49,54,46,40,77,85
1613,49,51,60,67,34,77,94
1614,52,43,69,59,30,84,93
1615,50,44,64,59,42,82,86
1616,52,49,65,59,40,77,89
1617,45,56,68,54,30,80,87
1618,36,49,60,47,33,76,89
1619,54,55,65,59,34,79,86
1620,45,45,64,63,34,71,82
1621,53,53,62,45,35,72,86
1622,40,44,60,65,24,80,91
1623,36,44,63,54,35,80,89
1624,41,48,59,52,32,80,85
1625,42,46,64,55,28,77,87
1626,39,46,68,69,36,77,89
1627,56,58,72,57,44,80,89
1628,47,43,59,50,35,83,93
1629,49,48,66,45,34,82,89
1630,43,51,66,52,33,81,90
1631,42,45,66,54,28,65,84
1632,49,57,62,66,36,74,95
1633,41,39,63,60,36,80,92
1634,36,44,75,57,32,69,82
1635,38,36,63,57,37,85,90
1636,46,43,60,62,33,76,92
1637,55,48,69,59,36,79,92
1638,43,52,65,51,47,86,88
1639,44,52,64,56,39,74,90
1640,44,52,59,53,36,82,87
1641,41,38,60,61,29,82,93
1642,49,51,62,55,36,71,87
1643,45,41,59,59,34,80,91
1644,49,45,66,55,37,82,83
1645,55,53,59,58,32,81,95
1646,40,43,55,56,36,78,87
1647,49,47,59,47,29,74,86
1648,41,53,64,55,34,78,91
1649,51,57,63,49,38,83,84
1650,41,49,64,56,32,79,92
1651,41,50,70,57,48,87,92
1652,48,55,64,58,50,83,91
1653,42,44,60,50,39,76,88
1654,46,50,66,53,41,79,87
1655,43,46,76,52,39,77,85
1656,45,49,72,63,36,67,90
1657,45,47,56,58,30,82,84
1658,51,51,68,51,36,80,90
1659,37,48,60,61,35,76,87
1660,42,51,62,46,43,77,87
1661,43,44,67,62,35,70,93
1662,52,39,63,52,40,80,88
1663,40,42,63,47,32,74,94
1664,45,55,66,50,42,77,87
1665,41,49,71,59,35,77,89
1666,53,50,69,59,28,78,86
1667,43,44,63,50,42,77,91
1668,53,52,58,51,43,78,86
1669,45,55,64,57,41,81,84
1670,39,41,56,62,39,77,90
1671,38,41,62,61,28,72,85
1672,42,50,68,58,31,73,88
1673,44,41,67,59,34,69,87
1674,43,51,69,44,35,66,90
1675,42,45,63,53,34,86,87
1676,46,53,61,56,44,82,87
1677,41,47,69,49,41,77,88
1678,36,41,61,55,37,78,87
1679,37,43,68,50,40,77,85
1680,45,40,66,53,33,68,89
1681,43,46,66,55,27,83,91
1682,44,53,61,51,36,78,84
