,a(p(Erk))
817,-7.566360473632798
818,-6.681358337402344
819,-4.095184326171875
820,-9.379959106445312
821,-8.587318420410156
822,-10.145805358886719
823,-9.25244140625
824,-8.809333801269531
825,-0.9921798706054688
826,-1.2824859619140625
827,-7.708076477050781
828,-1.5317001342773438
829,-16.89205932617189
830,-10.284133911132812
831,-2.0786209106445312
832,3.1433639526367188
833,-12.652580261230469
834,-3.17230224609375
835,-6.4896087646484375
836,-12.348220825195312
837,-12.184539794921875
838,-10.964653015136719
839,-9.257240295410156
840,-1.5074539184570312
841,-10.533409118652344
842,-17.078475952148438
843,-3.0355148315429688
844,-13.370101928710938
845,-10.5770263671875
846,-3.991790771484375
847,-8.7349853515625
848,-9.105796813964844
849,-12.002563476562514
850,-5.323577880859375
851,-17.349990844726562
852,-6.573280334472656
853,-2.595550537109375
854,-12.321807861328125
855,-11.135231018066406
856,-7.5447845458984375
857,-3.005889892578125
858,-12.004020690917969
859,-3.1890335083007812
860,-4.936531066894531
861,-16.302757263183594
862,-9.913383483886719
863,-6.7752685546875
864,-8.166465759277344
865,0.02398681640625
866,-10.107551574707017
867,-6.437919616699219
868,-6.974296569824219
869,-2.3547592163085938
870,1.7625198364257812
871,-9.61480712890625
872,-13.813247680664062
873,-5.7508697509765625
874,-8.918647766113281
875,-9.034599304199205
876,-4.8766937255859375
877,-13.594039916992188
878,-7.757957458496094
879,-11.428153991699219
880,-7.9517593383789205
881,-13.860015869140625
882,-0.9631576538085938
883,6.956825256347656
884,-10.368377685546875
885,-1.4443206787109375
886,-17.774147033691406
887,-12.361526489257812
888,-6.3241119384765625
889,-2.945404052734375
890,-17.179649353027344
891,-9.838302612304688
892,-8.210060119628906
893,-8.885055541992188
894,-7.204017639160156
895,-17.052772521972656
896,-11.203529357910156
897,-4.707763671874986
898,-7.468696594238281
899,-15.114189147949219
900,1.0245819091796875
901,-4.8205718994140625
902,-5.930091857910156
903,-7.786033630371094
904,-6.17156982421875
905,-13.609191894531236
906,-4.637382507324219
907,-14.314117431640625
908,-15.357048034667969
909,-8.982696533203125
910,-2.2806930541992188
911,-10.255935668945312
912,-7.994903564453125
913,-16.30352020263672
914,-7.003639221191406
915,-13.049057006835923
916,-9.755859375
917,-9.465812683105469
918,-10.55233764648439
919,-3.34393310546875
920,-5.445098876953125
921,-7.649208068847656
922,-6.032859802246094
923,-6.486915588378906
924,-4.147911071777344
925,-9.185661315917969
926,-8.77459716796875
927,-11.132560729980469
928,-14.514297485351562
929,-4.127967834472656
930,-1.6460189819335938
931,-7.617912292480469
932,-9.821395874023438
933,-10.127052307128906
934,1.1697921752929688
935,-7.85693359375
936,-4.621795654296875
937,-8.850242614746094
938,-3.7200469970703125
939,-5.752555847167969
940,-0.9208831787109375
941,-1.4881591796875
942,-1.9303436279296875
943,-7.159370422363281
944,-17.362022399902344
945,-12.272743225097656
946,-2.9605560302734375
947,-15.532951354980469
948,-7.995574951171875
949,-7.2385025024414205
950,-14.14700317382814
951,-3.8962478637695312
952,-8.182823181152344
953,-3.0349273681640625
954,-10.113502502441406
955,-9.086540222167969
956,-7.795989990234361
957,1.162994384765625
958,-9.185684204101562
959,-11.818634033203125
960,-16.903533935546875
961,-15.293746948242188
962,-9.219200134277344
963,-13.5809326171875
964,-5.536628723144531
965,-11.687850952148438
966,-4.029197692871094
967,-4.855171203613281
968,-5.0383453369140625
969,-5.333244323730469
970,-11.070335388183594
971,-11.439254760742188
972,-10.110015869140625
973,-13.106544494628906
974,-7.577903747558594
975,-3.052001953125
976,-14.808975219726562
977,-1.8713836669921875
978,2.3488540649414062
979,-4.3758087158203125
980,-6.8249740600585795
981,-8.705329895019531
982,-2.0483169555664062
983,-8.039077758789062
984,-5.795539855957031
985,-3.8201751708984375
986,-5.515876770019531
987,-14.587623596191406
988,0.9417343139648438
989,-8.651542663574219
990,-11.174514770507812
991,-10.713943481445312
992,-12.14068603515625
993,-7.733879089355469
994,-11.259300231933594
995,-12.943679809570312
996,-11.830284118652358
997,-1.26629638671875
998,-8.497817993164062
999,-8.783447265625
1000,-12.678352355957031
1001,-3.4070053100585938
1002,-11.611351013183594
1003,-10.696800231933594
1004,-11.029693603515625
1005,-7.6623992919921875
1006,-12.199981689453125
1007,-10.952903747558594
1008,-0.33203125
1009,-3.5403823852539062
1010,-4.197608947753906
1011,-14.158065795898438
1012,-10.177688598632827
1013,-1.81292724609375
1014,-8.008247375488281
1015,0.731353759765625
1016,-9.812034606933594
1017,-8.090965270996094
1018,-8.845176696777344
1019,-7.908905029296861
1020,-12.452552795410156
1021,-0.4757843017578125
1022,-1.92083740234375
1023,-6.694549560546875
1024,-3.9401473999023438
1025,-13.904808044433594
1026,-3.0194091796875
1027,-11.60394287109375
1028,-9.513389587402344
1029,-9.262001037597656
1030,-12.044143676757812
1031,-3.6617889404296875
1032,-3.3186721801757812
1033,-12.106658935546875
1034,1.6618270874023438
1035,-2.8739471435546875
1036,-3.598541259765625
1037,-7.517250061035156
1038,-5.178520202636719
1039,-4.572090148925781
1040,-7.675575256347656
1041,-4.920318603515625
1042,-9.887474060058594
1043,-9.881385803222656
1044,-18.968460083007827
1045,-8.264999389648438
1046,-12.077095031738281
1047,-1.1214981079101562
1048,-8.0130615234375
1049,0.7793807983398438
1050,-2.4912185668945312
1051,-13.604515075683594
1052,-7.000946044921875
1053,-14.037712097167969
1054,-15.723556518554673
1055,-11.321273803710938
1056,-10.1551513671875
1057,-8.269248962402344
1058,-11.218193054199219
1059,-13.695495605468764
1060,-13.903167724609375
1061,-7.851631164550781
1062,-20.9727783203125
1063,-7.730560302734375
1064,-11.871261596679688
1065,3.6265182495117188
1066,-9.888565063476562
1067,-11.735374450683594
1068,-10.055389404296875
1069,-3.5952301025390625
1070,-2.0704269409179688
1071,-13.08950805664064
1072,-8.701721191406264
1073,-17.189666748046875
1074,-8.654930114746094
1075,-2.8902816772460938
1076,-15.843482971191406
1077,-5.00946044921875
1078,-0.30988311767578125
1079,-17.53949737548828
1080,-13.656379699707017
1081,-12.041603088378906
1082,-8.060813903808594
1083,-8.359100341796875
1084,-5.478813171386719
1085,-6.370521545410156
1086,-13.642692565917969
1087,-14.9769287109375
1088,-9.976753234863281
1089,1.0551834106445312
1090,-13.479850769042969
1091,0.20418548583984375
1092,-9.085533142089844
1093,-7.4087982177734375
1094,-5.6551513671875
1095,4.307136535644531
1096,-6.645835876464844
1097,-2.0051651000976562
1098,-18.02967071533203
1099,-8.334152221679688
1100,-7.735450744628906
1101,-15.77545166015625
1102,-6.415443420410156
1103,-17.15776824951172
1104,-3.225341796875
1105,3.1352615356445312
1106,-10.000152587890625
1107,-0.29651641845703125
1108,-4.068748474121094
1109,-12.0765380859375
1110,-1.212860107421875
1111,-6.885017395019531
1112,-2.9816970825195312
1113,3.1085281372070312
1114,-10.781196594238281
1115,-6.91168212890625
1116,-15.086280822753906
1117,-16.147972106933594
1118,-5.090629577636719
1119,-2.2843475341796875
1120,-8.8018798828125
1121,-7.454429626464844
1122,-7.589836120605469
1123,-2.5240402221679688
1124,-7.0933837890625
1125,-6.381324768066406
1126,-13.242881774902344
1127,-5.82672119140625
1128,-8.558029174804688
1129,-14.959465026855455
1130,-11.630073547363281
1131,-8.7662353515625
1132,-6.41949462890625
1133,-9.115531921386719
1134,-2.7732086181640625
1135,-5.3767242431640625
1136,-2.754364013671875
1137,-4.453422546386719
1138,-8.737167358398452
1139,-8.449859619140625
1140,-5.339073181152344
1141,-5.0570220947265625
1142,-18.819068908691392
1143,-3.4428253173828125
1144,0.9597702026367188
1145,-0.46547698974609375
1146,-1.1880950927734375
1147,-11.802772521972656
1148,-10.849235534667955
1149,-1.35760498046875
1150,-20.245758056640625
1151,-11.4049072265625
1152,-6.7439117431640625
1153,-2.925689697265625
1154,-15.301193237304688
1155,-7.921211242675781
1156,-6.0818710327148295
1157,7.639472961425781
1158,-7.9302520751953125
1159,-11.003517150878906
1160,-10.65847778320311
1161,-7.280181884765625
1162,-7.0593109130859375
1163,-5.14703369140625
1164,-2.2733688354492188
1165,-9.29440307617186
1166,-12.302947998046875
1167,-3.47607421875
1168,0.44023895263671875
1169,-7.134979248046875
1170,-3.9886322021484375
1171,-2.097991943359375
1172,-18.89749908447267
1173,-1.338134765625
1174,-5.672332763671875
1175,-10.122817993164062
1176,-3.4029464721679545
1177,-4.4190826416015625
1178,-8.394149780273438
1179,-8.634262084960938
1180,-10.908615112304702
1181,-9.199943542480469
1182,-8.525772094726562
1183,-11.604522705078125
1184,-10.075988769531264
1185,-13.116828918457031
1186,-7.062385559082031
1187,-9.329704284667969
1188,-2.8244094848632812
1189,-2.5756607055664062
1190,-5.228843688964844
1191,-5.33624267578125
1192,-3.5354156494140625
1193,-9.902931213378906
1194,-6.44573974609375
1195,-6.198722839355469
1196,-10.473579406738281
1197,-7.0052642822265625
1198,-7.890281677246094
1199,-8.835525512695312
1200,-4.296913146972656
1201,-6.668220520019531
1202,-12.925941467285156
1203,-2.1151504516601562
1204,-5.389549255371094
1205,-10.012519836425781
1206,-0.0457763671875
1207,-9.474822998046875
1208,-12.163719177246094
1209,-8.32257080078125
1210,-11.667907714843736
1211,-8.688247680664062
1212,-17.780914306640625
1213,-7.51806640625
1214,-11.664199829101562
1215,3.298919677734389
1216,11.300491333007812
1217,-6.011268615722656
1218,-3.253936767578125
1219,0.1280364990234375
1220,-8.197189331054688
1221,-2.6730804443359375
1222,-6.320671081542969
1223,-2.1339645385742188
1224,-8.34676361083983
1225,-9.967788696289062
1226,-0.9171905517578125
1227,-8.230751037597656
1228,-9.116676330566406
1229,-5.629051208496094
1230,-6.4386138916015625
1231,-15.766159057617188
